ip,bytes_sent,bytes_recv,bytes_total
172.64.155.119,19571,27816,47387
fe80::8496:f8ff:fe84:63f6,114497,0,114497
52.223.44.121,21436,32136,53572
184.150.65.208,1374095,8350,1382445
104.16.0.35,7979,4115,12094
140.82.113.25,17288,15778,33066
23.202.227.144,101428,25460,126888
23.39.212.33,9792,2845,12637
174.142.116.47,39368,14937,54305
13.89.179.10,8070,5759,13829
13.89.179.11,9679,9798,19477
40.99.141.8,54,78,132
255.255.255.255,0,17973,17973
104.26.0.151,84467,52154,136621
104.18.87.42,304080,11225,315305
34.120.237.76,1700345,326995,2027340
23.60.176.33,56872,8426,65298
184.31.146.230,11558,3159,14717
54.192.51.28,28216,2495,30711
172.217.129.70,6074862,168209,6243071
17.57.12.242,26843,4068,30911
99.84.160.121,8494,4385,12879
17.253.24.200,18973,3522,22495
104.26.6.37,22979,4264,27243
13.33.67.108,11485,4079,15564
151.101.139.52,6793,4594,11387
13.83.56.107,9872,3810,13682
98.84.224.111,862017,86674,948691
192.29.100.90,856802,10208,867010
192.168.1.5,0,880,880
3.22.25.12,166334,164207,330541
172.217.165.1,61947,14830,76777
40.126.29.11,62696,14783,77479
52.44.230.118,1628433,24898905,26527338
142.251.33.161,400050,58753,458803
52.109.8.36,27161,51498,78659
3.96.230.249,8207,15108,23315
172.64.146.140,20674,79934,100608
17.57.172.10,6131,1985,8116
34.196.205.14,12504,16300,28804
173.194.55.102,61408786,893241,62302027
142.250.69.97,110228,29743,139971
13.59.48.42,33743,21919,55662
192.168.2.68,172.224.91.10,420,0,420
104.18.1.22,5523,3901,9424
192.168.2.68,172.224.91.11,280,0,280
20.83.18.132,265440,57622,323062
192.168.2.68,172.224.91.13,140,0,140
76.76.21.21,2939369,206592,3145961
192.168.2.68,172.224.91.14,140,0,140
192.168.2.68,172.224.91.15,140,0,140
52.109.20.38,83763,6036,89799
172.224.91.10,192.168.2.68,0,420,420
17.248.199.64,112164,49075,161239
142.251.33.170,925873,1135707,2061580
17.248.199.65,86970,38274,125244
162.159.136.232,24411,8303,32714
17.248.199.66,250151,57533,307684
17.248.199.67,214138,104917,319055
162.159.140.229,369,825,1194
17.156.129.129,11892,4608,16500
17.248.199.68,967314,226296,1193610
142.251.33.174,4065069,296572,4361641
17.248.199.69,144266,66620,210886
167.114.15.225,1057336,17755,1075091
104.79.84.57,538512,7085,545597
23.101.168.44,13855,5660,19515
140.82.113.3,29373,10109,39482
140.82.113.4,478837,38621,517458
